date	Paris	Londres	Moscow	Madrid	Casablanca	Abidjan	Dakar	New York	Los Angles	Toronto	Istanbul	Shanghai	Tokyo	Melbourne	Vide
1952-05-01	15.106000000000002	13.512	10.214	13.839	18.549	26.842	22.15	13.856	18.199	10.698	15.142000000000001	15.142000000000001	15.739999999999998	10.225	
1952-06-01	17.482	15.163	16.277	19.309	23.511999999999997	25.432	27.159000000000002	21.046	17.803	17.903	19.013	19.013	19.829	9.204	
1952-07-01	20.052	17.463	17.247	20.993000000000002	25.427	24.784	28.085	23.964	23.502	21.139000000000006	22.16	22.16	23.314	7.2200000000000015	
1952-08-01	18.832	16.967000000000002	16.444000000000003	20.029	25.129	23.763	27.791999999999998	21.335	23.831999999999997	18.695	24.425	24.425	25.4	8.722999999999999	
1952-09-01	12.455	11.402000000000001	11.83	14.812999999999999	21.663	24.732	27.526000000000003	17.75	22.432	15.529000000000002	22.345	22.345	20.863000000000003	10.912	
1952-10-01	10.068999999999999	8.877	3.891	12.707	19.302	25.625999999999998	27.517	9.439	18.471	5.670000000000001	16.676000000000002	16.676000000000002	14.718	12.267000000000001	
1952-11-01	4.582	3.95	-1.1940000000000002	7.31	15.168	26.526	27.149	5.882999999999999	11.050999999999998	3.4730000000000003	12.95	12.95	9.999	13.905	
1952-12-01	2.931	2.539	-6.268000000000002	3.9589999999999996	10.558	26.601	23.802	0.59	8.879	-2.057	10.940999999999999	10.940999999999999	3.3229999999999995	16.511	
1953-01-01	0.5449999999999999	2.883	-10.5	1.889	9.751	26.987	22.864	0.11399999999999988	11.592	-4.6	7.332999999999999	7.332999999999999	0.94	18.496	
1953-02-01	3.072	4.0360000000000005	-15.542	3.14	10.245	27.454	20.272	1.1969999999999996	10.313	-4.003	6.377000000000001	6.377000000000001	1.7519999999999998	18.948	
1953-03-01	7.763	5.7090000000000005	-3.508	6.815	12.323	27.882	20.645	4.342	11.25	-0.625	4.0470000000000015	4.0470000000000015	7.019	18.113	
1953-04-01	10.29	7.736000000000001	6.48	9.509	16.284000000000002	27.816999999999997	20.342	9.141	12.7	4.4140000000000015	11.113	11.113	9.96	14.512	
1953-05-01	15.037	12.754000000000001	11.005	15.833	20.706	26.784000000000002	22.419	16.187	14.593	12.22	15.128999999999998	15.128999999999998	15.608999999999998	11.533	
1953-06-01	16.032	14.304	18.317	16.528	21.592	25.143	25.604	20.587	18.248	17.365	20.625999999999998	20.625999999999998	19.484	8.507	
1953-07-01	18.011	16.105	18.525	21.206	25.984	24.561	27.41	22.746	24.853	19.42	23.099	23.099	22.988000000000003	8.052999999999999	
1953-08-01	18.73	16.749000000000002	16.967	22.811999999999998	26.781	23.793000000000003	28.213	21.301	22.223000000000006	19.327	23.08	23.08	23.654	8.544	
1953-09-01	15.874	14.053	9.987	17.394000000000002	22.750999999999998	24.787	28.076	18.173	21.721	14.727	18.875	18.875	20.442999999999998	10.279000000000002	
1953-10-01	11.849	10.112	5.5310000000000015	10.98	18.061	25.785999999999998	27.515	12.341	16.987000000000002	9.714	15.142	15.142	14.892000000000001	12.253	
1953-11-01	6.193	8.036999999999999	-3.35	8.08	14.884	27.08	26.594	6.066	13.538	4.328	8.040000000000001	8.040000000000001	8.065000000000001	13.925	
1953-12-01	6.651999999999999	6.863	-5.86	6.880000000000001	11.502	26.859	23.466	1.899	10.167	-2.2119999999999997	3.4510000000000005	3.4510000000000005	5.267	16.519000000000002	
1954-01-01	0.9089999999999998	2.5469999999999997	-14.725999999999999	1.527	8.742999999999999	26.616	21.59	-3.727	8.716000000000001	-9.392999999999999	1.1719999999999997	1.1719999999999997	1.969	20.227999999999998	
1954-02-01	1.5219999999999998	2.296	-15.044	3.345	9.639	27.761999999999997	18.768	1.962	13.044	-3.02	1.3430000000000002	1.3430000000000002	3.366	17.006	
1954-03-01	7.808999999999998	6.032	-3.914	6.7589999999999995	12.333	27.787	20.684	3.5860000000000003	10.302	-3.5	7.6800000000000015	7.6800000000000015	5.84	16.099999999999998	
1954-04-01	8.532	7.321000000000001	2.612	8.337	13.253	27.006999999999998	20.94	10.454	15.095	5.912000000000001	9.399	9.399	12.547	14.4	
1954-05-01	13.254	11.620999999999999	12.799	13.333	18.643	26.546	23.781999999999996	13.661	17.749000000000002	9.933	16.613	16.613	15.570999999999998	10.821	
1954-06-01	16.067	14.040999999999999	18.305	17.088	21.711	24.996	26.331	20.293	19.512	18.016	22.109	22.109	16.843	8.783	
1954-07-01	16.422	14.855000000000002	19.878	21.046	25.44	23.808000000000003	27.416	22.163	25.316999999999997	18.338	24.205	24.205	21.357000000000006	7.827999999999999	
